name,gm_rate,zoodex_rating,zoodex_review,gm_review,Zoodex CSAT,GM CSAT,Zoodex Normalized CSAT,GM Normalized CSAT,Final CSAT,Cluster,Class
رستوران نان و نمک,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران دیزی بار,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
غذای رژیمی لیدو (LIDO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران و کبابسرا ستاره شب,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
صبحانه و کبابی دل آرا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بیرون بر شکم طلایی,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
دایت فود (غذای رژیمی و سالم),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران سالم,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بیرون بر زرین غذا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بیرون بر همیشه بهار,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
هایپر آتیس,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
